"","Series","Naive2","Comb","ARIMA","ETS","ETSARIMA","Naive2.1","Comb.1","ARIMA.1","ETS.1","ETSARIMA.1"
"213","W213",0.0684165519361004,0.0773335346473805,0.139915399680209,0.0710715105139081,0.0978241900145048,1.4695760905189,1.65211889801346,2.87433412079824,1.52432939071597,2.06215438578321
"214","W214",0.0299068373744933,0.0294727100712502,0.0283532758517097,0.030877812201069,0.0244181166923552,1.02920765119976,1.01443286505304,0.977470573762359,1.06222341220076,0.839992415314775
"215","W215",0.0306512832756371,0.0261308928531154,0.0197137260482437,0.0307843750417715,0.0251572354801313,4.70624167808009,4.02390258466126,3.04821214241874,4.7262714379948,3.87639014796979
"216","W216",0.0231254474884238,0.0199560283509323,0.00798165855886877,0.0231764914660886,0.0138786148483566,4.30475787313612,3.72262256451462,1.4990493092374,4.31411186687655,2.59888929887128
"217","W217",0.0131998686276953,0.0143938803022162,0.0152399169194533,0.0145405532682705,0.0147624138056751,0.406189590618718,0.443822843170718,0.470348788841822,0.448433160824951,0.455390493015741
"218","W218",0.0288187277267088,0.0300346464828989,0.0295513295540455,0.0299917427648894,0.0297712546687582,0.976165272579621,1.0183634412132,1.00161654076369,1.01688328264043,1.00924991170206
"219","W219",0.020802567309987,0.020803797116232,0.0179368286822682,0.0202980299182993,0.0191165661869097,1.74199635197182,1.74209208486193,1.50494073980648,1.70032058979233,1.6026306647994
"220","W220",0.0126120883390463,0.00673244237918357,0.00646665850443412,0.0070983927765969,0.00678227319989953,1.71969491341404,0.921622044149088,0.885291909179971,0.971548352968051,0.928420131074014
"221","W221",0.0410384545494466,0.0418688259006883,0.040156311718985,0.0392790525982524,0.0397183022990638,1.96913235859946,2.01054526199228,1.92498583792934,1.88158591517884,1.90328587655409
"222","W222",0.0586205118700033,0.0579371216978704,0.0586205118700033,0.055126827794291,0.0568732124800497,2.61960837555523,2.5888613867236,2.61960837555523,2.46261159659514,2.54110998607519
"223","W223",0.0135285488406147,0.0155927123835521,0.0127968840923486,0.0135126651600908,0.0131443813365098,1.059258127354,1.22227317879269,1.00174297007782,1.05800721659022,1.02902964233891
"224","W224",0.121835707020716,0.208412468279794,0.148086178264533,0.212087699713814,0.179072190675078,2.46704297556969,3.96039432525109,2.90735759744808,4.02416123902115,3.46575941823462
"225","W225",0.0865942940331909,0.0886073440758625,0.0847358968692327,0.062999328264228,0.0733493975817855,0.952191133710066,0.972040999509109,0.933825664790671,0.714585116750771,0.820068138977175
"226","W226",0.110593587090731,0.0430870248986699,0.0653030493014271,0.0652269869203153,0.0652071593302314,2.67843484087603,1.00436305025877,1.53650085588652,1.53372908713244,1.53364012822332
"227","W227",0.174889348306326,0.202628216309601,0.216605841900176,0.231030400712099,0.223790757151207,1.69839925677449,1.9340152754568,2.05023867775452,2.1691142450679,2.10967646141121
"228","W228",0.0606901855555317,0.0824026319970162,0.0724112067209532,0.104528480832249,0.0883455730102927,1.15010770116058,1.54046911926002,1.36178419622689,1.92980670580892,1.64579545101791
"229","W229",0.0581529261144326,0.0669998329934285,0.0443993232504816,0.0410679776547175,0.0387748606547927,0.424969178737637,0.469517569301298,0.321854191074619,0.294526937002124,0.279494568853686
"230","W230",0.122377823784161,0.118968554878764,0.118268879530922,0.115889122999924,0.116215305388618,1.33251298984904,1.30017917885969,1.2940543900878,1.26722236548807,1.27243777629991
"231","W231",0.502328247000602,0.458551357417724,0.376762022515466,0.452170587829475,0.413733715014578,4.53885620260629,4.23889416705735,3.65136929611423,4.20116738512581,3.92626834062002
